SampleID,reachid,fieldnotes,LAT,LONG,ElevCat,WsAreaSqKm,Tmean8110Ws,Precip8110Ws
172404,CN-SS-49434,PN_17,44.093025,-114.052279,2236.557478,14.3037,2.220975408,547.529657
172405,CN-SS-50314,PN_17,44.416725,-114.308402,2314.003529,5.2191,2.858331381,709.2812372
172406,CN-SS-63770,PN_17,44.098936,-114.072044,2463.776226,3.7611,2.173680005,556.2167153
172407,CTG-LS-1004,PN_17,46.291931,-115.941817,799.2658767,496.4697,6.66194816,1166.845661
172408,CTG-RV-1010,PN_17,45.160728,-116.300142,1337.415849,561.7224,5.201341623,802.975072
172409,CTG-SS-1000,PN_17,46.360041,-116.048191,840.8486282,12.654,8.198966892,908.489465
172410,CTG-SS-1001,PN_17,45.892581,-116.593645,1439.37817,4.7007,6.941382414,687.562298
172411,CTG-SS-1002,PN_17,45.555085,-116.205868,1391.121996,11.5128,4.904520399,1036.347835
172412,CTG-SS-1003,PN_17,45.870584,-115.492716,1498.996719,2.3292,5.142886225,882.0819925
172413,CTG-SS-1006,PN_17,45.575172,-116.215697,1647.353737,11.4147,5.244264631,958.795548
172414,CTG-SS-1006,PN_17,45.575172,-116.215697,1647.353737,11.4147,5.244264631,958.795548
172415,CTO-LS-1061,PN_17,46.368524,-116.14673,663.2404022,625.8555,7.020604992,1105.367236
172416,CTO-LS-1065,PN_17,45.81758,-115.468178,1255.073083,237.1869,5.106908,913.1764058
172417,CTO-LS-1068,PN_17,46.039456,-116.768471,1122.84976,41.9391,6.648402883,770.9406045
172418,CTO-SS-1058,PN_17,45.413592,-115.873093,1672.758658,16.3728,5.431868805,901.4384765
172419,CTO-SS-1062,PN_17,45.403196,-115.828567,2133.741731,8.9019,3.52871965,1201.922332
172420,CTO-SS-1062,PN_17,45.403196,-115.828567,2133.741731,8.9019,3.52871965,1201.922332
172421,CTO-SS-1063,PN_17,45.293933,-116.32331,1880.500594,3.5127,4.875746398,929.4015047
172422,CTO-SS-1064,PN_17,46.025772,-116.898991,636.6999357,21.0123,8.446710018,567.9731972
172423,CTO-SS-1066,PN_17,45.612411,-116.21134,1259.252124,3.9276,7.305447008,655.3029155
172424,CTO-SS-1079,PN_17,45.278751,-116.306761,1643.915174,8.5131,5.048254121,954.9781199
172425,CT-TR-1045,PN_17,45.874041,-115.46669,1297.625195,4.0644,5.404420766,775.8844319
172426,CT-TR-1054,PN_17,45.666647,-116.27817,744.9806069,24.3198,7.348633924,674.2735256
172427,CT-TR-1076,PN_17,45.666244,-116.327024,879.7174772,2.0763,9.537794357,474.5424507
172428,CT-TR-1132,PN_17,45.824201,-115.468087,1405.483972,8.6589,5.211426787,813.6710015
172429,CT-TR-1174,PN_17,45.88116,-115.459884,1330.992222,16.5231,5.206980845,889.9861753
172430,CT-TR-1196,PN_17,45.829166,-115.50225,1517.07617,6.7041,4.849992896,875.3106649
172431,CT-TR-1264,PN_17,45.614841,-116.321334,1170.974935,14.2767,7.758905191,552.7340638
172432,CT-TR-1271,PN_17,45.405395,-116.131977,981.7809377,82.0647,4.915259475,1020.901082
172433,CT-TR-1307,PN_17,45.867167,-115.423778,1366.377151,46.1421,4.99383775,989.0484856
172434,CT-TR-1372,PN_17,45.923369,-116.631468,1131.919565,18.4518,7.123163859,664.1491913
172435,CT-TR-1468,PN_17,45.801992,-115.475885,1327.969699,1.3374,5.428463608,770.387847
172436,CT-TR-1472,PN_17,45.829604,-115.500752,1372.466629,4.3506,5.460552722,798.1705602
172437,CT-TR-1474,PN_17,45.875948,-115.491731,1353.980913,19.8315,4.632215959,977.9895707
172438,MN-LS-1014,PN_17,44.817799,-114.111343,1838.725394,38.2284,3.634155275,560.702877
172439,MN-SS-1129,PN_17,44.345419,-112.207502,1842.28642,22.4361,3.536940225,689.3882813
172440,MN-SS-1147,PN_17,44.70137,-114.085061,1605.728549,15.0444,5.952449187,225.7437153
172441,PO-LS-1006,GB_16,42.323807,-111.944964,1780.616921,24.3945,6.984586978,530.6456678
172442,PO-RV-1001,PN_17,42.986471,-111.740552,1914.022509,1418.4387,4.094099943,610.120353
172443,PO-RV-1005,PN_17,43.037977,-111.850723,1821.367262,1668.4164,4.179804202,592.1849572
172444,PO-SS-1000,PN_17,42.887353,-111.279315,2172.579653,12.5559,3.876601229,791.9238387
172445,PO-SS-1002,GB_16,42.370325,-111.81432,1977.149512,4.9779,6.388535063,573.451808
172446,PO-SS-1007,PN_17,42.713737,-112.503914,1758.882708,14.2272,6.144048784,666.2908395
172447,PO-SS-1008,PN_17,43.279064,-111.958605,1788.606815,33.1722,5.681905807,528.0342599
172448,PO-SS-1010,PN_17,42.636814,-112.355767,2020.560966,20.3193,5.642343747,737.3480184
172449,PO-SS-1023,PN_17,42.726382,-112.52504,1829.360715,17.1126,5.862247385,719.1271826
172450,PO-SS-1026,PN_17,42.659134,-112.1134,1719.896002,7.8867,6.792377171,546.3586725
172451,PO-TR-1103,PN_17,43.07213,-111.925451,1773.11615,1766.4786,4.240966637,585.9588873
172452,PO-TR-1441,GB_16,42.039761,-111.426995,1929.471237,40.6377,4.143545494,944.2342434
172453,PO-TR-1465,GB_16,42.097987,-111.228,2104.762113,7.3503,4.615949948,498.5588915
172454,SA-LS-13342,PN_17,44.658342,-113.228742,2274.15723,136.5201,2.268792749,582.5041266
172455,SA-LS-22730,PN_17,45.00237,-113.563399,1824.34392,42.2208,3.272721575,630.0548137
172456,SA-LS-26910,PN_17,44.555166,-113.255253,2377.746061,217.5588,2.569465374,442.0671266
172457,SA-LS-37982,PN_17,44.593874,-113.397153,2203.99834,133.254,1.528470678,635.7216811
172458,SA-LS-38090,PN_17,44.948787,-113.562048,1795.269219,78.2955,3.554167254,567.1231224
172459,SA-LS-65566,PN_17,44.674587,-113.280467,2274.15723,136.5201,2.268792749,582.5041266
172460,SA-LS-70750,PN_17,44.656046,-113.380185,1906.308952,208.323,1.813619822,594.2198158
172461,SA-LS-73758,PN_17,44.605084,-113.268936,1940.92283,245.8098,2.54994501,448.9897635
172462,SA-SS-12298,PN_17,45.007405,-113.696297,1613.886102,45.5661,4.504151588,448.0092379
172463,SA-SS-15370,PN_17,45.001995,-113.71406,1613.886102,45.5661,4.504151588,448.0092379
172464,SA-SS-41246,PN_17,44.480713,-113.120915,2255.060644,9.4887,2.34321928,480.8999954
172465,SA-SS-42270,PN_17,44.48682,-113.263259,2079.803088,65.5551,1.980347458,488.654743
172466,SA-SS-51722,PN_17,44.791443,-113.248913,2151.920571,18.099,2.608218714,560.8398544
172467,SA-TR-1075,PN_17,44.66224,-113.256219,2274.15723,136.5201,2.268792749,582.5041266
172468,SA-TR-1250,PN_17,44.665569,-113.263565,2274.15723,136.5201,2.268792749,582.5041266
172469,SA-TR-1318,PN_17,44.6992,-113.3245,2214.361886,152.1819,2.604960503,568.6823969
172470,SA-TR-1373,PN_17,44.698457,-113.328883,2214.361886,152.1819,2.604960503,568.6823969
172471,US-LS-12870,PN_17,43.968952,-113.204206,1976.168507,1278.0846,2.935077627,452.3198968
172472,US-LS-13214,PN_17,44.317653,-112.555844,1901.181851,415.1232,2.852624861,545.1332132
172473,US-LS-13510,PN_17,44.252256,-113.333442,1986.628103,247.3272,1.803353805,593.1214861
172474,US-LS-15046,PN_17,44.154188,-113.348816,1910.842895,259.3197,2.381287515,540.5189538
172475,US-LS-15430,PN_17,44.09001,-112.877923,2144.007348,924.5448,2.478136106,489.9629976
172476,US-LS-15774,PN_17,44.446456,-112.694079,2118.379206,69.1785,2.456572597,552.3569875
172477,US-RV-11590,PN_17,43.881471,-113.095421,1572.663648,1572.1713,3.171231961,436.7636105
172478,US-SS-10310,PN_17,44.100921,-113.193211,2029.971649,4.5846,3.525401974,378.0888861
172479,US-SS-10438,PN_17,44.115144,-113.482987,2299.781771,9.0927,1.912245394,609.0076228
172480,US-SS-12446,PN_17,44.432898,-112.54201,2389.645391,21.1491,2.554902954,633.3655943
172481,US-SS-12702,PN_17,44.455586,-112.614405,2247.130691,19.1412,2.280005171,648.0218391
172482,US-SS-13470,PN_17,44.373976,-112.466049,2045.470612,34.9461,2.845822136,578.4925897
172483,US-SS-13662,PN_17,44.354085,-112.335119,2052.417423,9.7659,2.738081252,726.166715
172484,US-SS-13766,PN_17,44.104589,-113.417524,2055.743518,34.38,2.220276844,543.2427598
172485,US-SS-14662,PN_17,43.900909,-113.094854,1571.77396,5.0346,5.819404407,220.3791724
172486,US-SS-14918,PN_17,44.052994,-113.270218,1888.640695,46.3329,3.523196923,452.6526194
172487,XN-LS-4029,PN_17,44.164286,-111.575563,1701.094284,21.5307,4.353332686,652.9012531
172488,MN-SS-1175,PN_17,44.09988,-114.083,2463.776226,3.7611,2.173680005,556.2167153
172489,XN-SS-4097,PN_17,42.63559,-116.840633,1796.239184,18.054,6.575882957,762.7590781
172490,XN-SS-4113,PN_17,43.3461,-116.7968,1392.538707,11.1735,8.623732197,379.112439
172493,XN-LS-4003,PN_17,42.77869,-116.49768,1539.252268,75.6153,6.734206168,576.9813772
172494,XN-LS-4014,PN_17,42.429008,-116.334257,1686.589564,322.3818,6.562734885,543.2887766
172495,XN-LS-4058,PN_17,42.361069,-116.363242,1681.68973,472.4766,6.623793007,503.4824397
172496,XN-RM-4077,PN_17,42.278525,-116.841122,1448.045217,5423.0715,6.82474627,399.5860724
172497,MN-LS-1003,PN_17,44.2665,-114.514,2100.344581,78.2415,2.760938013,697.8134644
172498,MN-LS-1004,PN_17,44.0749,-113.1989,1906.108709,45.0918,1.475320276,689.2976101
172499,MN-LS-1058,PN_17,45.881553,-115.4447,1334.911328,58.6044,5.242030703,975.5024514
172500,MN-SS-1115,PN_17,44.878788,-113.996546,1859.697503,10.0566,5.086307568,368.5155482
