SAMPLE	TYPE	HV_UPPERPLATTE	SR_BIGHORNS	VMV	GM	SM	SR	SFLR	BBF	BH	HV	SEP	NEP	WB	BenCollDate	MeanDailyMinTemp_LOG	MeanDailyMaxTemp_LOG	MeanAnnPrecip_LOG	pH_LOG	temp_LOG	CHL_LOG	SO4_LOG	EC_LOG	NITRATE_LOG	TP_LOG	TSS_LOG	TURB_LOG	DO_LOG	OPEN_WATER	ICE_SNOW	D_OPEN	D_LOW	D_MEDIUM	D_HIGH	D_ALL	BARREN	D_FOREST	E_FOREST	MIX_FOREST	SHRUB_SCRUB	GRASS	PAS_HAY	CUL_CROP	D_CULCROP	W_WETLAND	H_WETLAND	G_CH_MAJ	G_NU_MAJ	UGN	ALK_LOG	MRC	MRE	MRW	NGP	WHP	LAT	LONG	ELV_LOG	W_LOG
87	C	0	0	0	0	1	0	0	0	0	0	0	0	0	9/4/1996	2.710963119	3.025715384	4.843064511	0.968482949	1.068185862	0.77815125	1.041392685	2.445604203	0.041392685	0.041392685	0.602059991	0.380211242	1.049218023	0	0	0	0	0	0	0	0	0.471653696	1.799542223	0.11678175	1.472464269	0.900526953	0.006852374	0	0	0.010912496	0.010912496	5	1	0	2.146128036	0	0	1	0	0	43.45244722	-110.7036278	3.829303773	1.025305881
88	C	0	0	0	0	1	0	0	0	0	0	0	0	0	9/5/1996	2.499687083	2.985875357	4.838597253	0.973127854	1.045322979	0.77815125	1.133538908	2.376576957	0.041392685	0.041392685	0.477121255	0.225309282	1.037426498	0.039503992	0.013007401	0	0	0	0	0	0.730909149	0.043353925	1.607130134	0.052942324	1.387603029	1.511192017	0.018771787	0	0	0.113758762	0.199906985	5	1	0	2.079181246	0	0	1	0	0	43.55833333	-110.4055556	3.859738566	1.78103695
90	C	0	0	0	0	1	0	0	0	0	0	0	0	0	9/1/1994	2.710963119	3.025715384	4.843064511	0.959041392	1.017033339	0.77815125	1.361727836	2.509202522	0.041392685	0.041392685	0.477121255	0.301029996	1.017033339	0	0	0	0	0	0	0	0	0.469013987	1.795487094	0.118715489	1.479216166	0.907654328	0.00698103	0	0	0.011116411	0.011116411	5	1	0	2.204119983	0	0	1	0	0	43.45083333	-110.7008333	3.829946696	1.021189299
106	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/7/1994	2.893206753	3.112269768	4.538824989	0.944482672	1.214843848	0.77815125	1.113943352	2.037426498	0.041392685	0.041392685	0.477121255	0.301029996	0.995635195	0.000702238	0.169399867	0	0	0	0	0	0.783284077	0.093474642	1.752922132	0.021258102	1.293453549	1.316102847	0.006418152	0	0	0.057698075	0.012196503	2	1	0	1.698970004	0	0	1	0	0	44.45777778	-109.6325	3.776701184	2.026124504
110	C	0	0	0	0	1	0	0	0	0	0	0	0	0	9/8/1995	2.523746467	3.002166062	4.926342447	0.968482949	1.193124598	1.176091259	1.230448921	2.369215857	0.041392685	0.041392685	0.477121255	0.431363764	0.968482949	0.348491928	0.000365831	0	0	0	0	0	0.033834007	0.045807053	1.529461073	0.107870136	1.75991657	0.833163379	0.019876443	0	0	0.330256581	0.465731536	2	1	0	1.812913357	0	0	1	0	0	44.13666667	-110.6641667	3.836324116	2.685024796
114	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/14/1994	2.763427994	2.980003372	4.704819467	0.939519253	1.037426498	0.77815125	1.041392685	1.977723605	0.041392685	0.041392685	1.230448921	0.322219295	1.017033339	0.016103911	0	0	0	0	0	0	0	0	1.789601846	0	1.539022476	0.816248611	0.003532879	0	0	0.061500636	0.022466133	2	1	0	1.602059991	0	0	1	0	0	44.93555556	-110.6241667	3.822168079	1.544068044
121	C	1	0	0	0	0	0	0	0	0	1	0	0	0	10/3/1996	2.416640507	2.970346876	4.770852012	0.968482949	1.10720997	0.77815125	2.075546961	2.607455023	0.414973348	0.041392685	0.477121255	0.176091259	0.963787827	0.364480341	0.326645947	0	0	0	0	0	0.667280454	0.754958149	1.474710273	0.080810422	1.48283779	1.469136284	0.027204401	0.000255148	0.000255148	0.332548584	0.326862437	1	1	0	1.903089987	0	0	1	0	0	43.25722222	-110.0241667	3.886998046	2.46834733
124	C	0	0	0	0	1	0	0	0	0	0	0	0	0	9/25/1996	2.695481676	3.046104787	4.768171743	0.982271233	1.08278537	0.77815125	1.707570176	2.544068044	0.041392685	0.041392685	0.477121255	0.342422681	0.991226076	0.082263361	0	0	0	0	0	0	0.04664168	0.195673353	1.736527851	0.041760453	1.50945581	1.169280601	0.013013365	0.001199279	0.001199279	0.073818113	0.074661639	5	1	0	2.181843588	0	0	1	0	0	42.34569444	-110.872775	3.827692289	2.230448921
126	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/14/1994	2.671172843	2.987666265	4.698726731	0.944482672	0.919078092	0.77815125	1.041392685	2.257678575	0.079181246	0.041392685	1.62324929	0.86923172	1.025305865	0	0	0.352808613	0	0	0	0.352808613	0	0	1.576176268	0	1.773787436	0.54626899	0	0	0.352808613	0.082381158	0.286521421	1	1	0	1.903089987	0	0	1	0	0	44.86944444	-110.3836111	3.835056102	1.130333768
127	C	0	0	0	0	1	0	0	0	0	0	0	0	0	9/26/1996	2.715167358	2.931457871	4.817446368	0.977723605	0.662757832	0.77815125	1.477121255	2.491361694	0.041392685	0.041392685	0.477121255	0.428134794	1.012837225	0.022466257	0	0	0	0	0	0	0.118637292	0.034462945	1.826135788	0	1.270474949	1.225175598	0.010754014	0	0	0.015105885	0.018801664	5	1	0	2.152288344	0	0	1	0	0	42.28777778	-110.5747222	3.896526217	1.390935114
129	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/17/1996	2.849419414	3.089198367	4.679300679	0.908485019	0.806179974	0.77815125	1.079181246	1.968482949	0.041392685	0.041392685	0.477121255	0.301029996	1.033423755	0.016503133	0.036839692	0	0	0	0	0	0.905147643	0.143327015	1.616169928	0.021105378	1.443613548	1.419752866	0	0	0	0	0.005571015	2	1	0	1.602059991	0	0	1	0	0	44.16055556	-109.6208333	3.811575006	1.217483944
130	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/17/1996	2.806179974	3.068556895	4.727533124	0.949390007	0.851258349	0.77815125	1.041392685	1.963787827	0.041392685	0.041392685	0.477121255	0.342422681	1.008600172	0	0.106207301	0	0	0	0	0	0.975320073	0.106751571	1.665864324	0.004841375	1.374725221	1.37927944	0	0	0	0	0.003463623	2	1	0	1.653212514	0	0	1	0	0	44.1275	-109.6438889	3.818225894	1.315970361
134	C	1	0	0	0	0	0	0	0	0	1	0	0	0	9/27/1996	2.747411808	2.968482949	4.661377227	0.954242509	0.785329835	0.77815125	1.041392685	1.568201724	0.041392685	0.041392685	0.477121255	0.428134794	1.033423755	0.381097624	0.020379237	0	0	0	0	0	0.51854766	0.820450394	1.611669013	0.050668917	1.437597499	1.30613018	0.101578809	0	0	0.403388741	0.622493521	1	1	0	1.414973348	0	0	1	0	0	42.53305556	-109.2055556	3.90227492	1.324282463
136	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/19/1996	2.71432976	3.066325925	4.676812453	0.84509804	0.954242509	0.77815125	1.041392685	2.167317335	0.041392685	0.041392685	0.602059991	0.352182518	1.096910013	0	0	0	0	0	0	0	0.090250383	0.034035253	1.895320435	0	1.159083096	0.985968004	0	0	0	0	0	2	1	0	1.857332496	0	0	1	0	0	44.46055556	-109.8616667	3.813580989	0.544068044
137	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/19/1996	2.700703717	3.056523724	4.68999218	0.954242509	0.740362689	0.77815125	1.041392685	2.100370545	0.041392685	0.041392685	0.477121255	0.146128036	1.130333768	0	0	0	0	0	0	0	0.77755025	0.111285272	1.759681632	0	1.478670398	1.004630951	0	0	0	0	0	2	1	0	1.716003344	0	0	1	0	0	44.47305556	-109.8963889	3.8162413	0.643452686
138	C	0	0	0	0	1	0	0	0	0	0	0	0	0	9/28/1996	2.539076099	3.004321374	4.753046562	0.973127854	1.10720997	0.77815125	1.491361694	2.559906625	0.041392685	0.041392685	0.477121255	0.357934847	0.913813852	0	0	0	0	0	0	0	0.076558465	0.060050951	1.795409502	0.011201111	1.448106359	1.049496346	0.010902146	0.005787998	0.005787998	0.180954302	0.138735167	5	1	0	2.187520721	0	0	1	0	0	42.40305556	-110.5605556	3.891537458	1.70243055
140	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/19/1996	2.622214023	3.022840611	4.824574872	0.944482672	0.77815125	0.77815125	1.041392685	2.012837225	0.041392685	0.041392685	0.477121255	0.190331698	1.176091259	0	0.006236067	0.227109	0	0	0	0.227109	0.396319168	0.124713233	1.858870684	0.005350663	1.147307974	1.14503292	0.011073778	0	0.227109	0.042695475	0.031575058	2	1	0	1.662757832	0	0	1	0	0	44.49222222	-109.9958333	3.840106094	1.541579234
145	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/20/1996	2.874481818	3.104828404	4.588977212	0.959041392	0.740362689	0.77815125	1.041392685	1.959041392	0.041392685	0.041392685	0.477121255	0.230448921	1.130333768	0	0.071477074	0	0	0	0	0	0.999363498	0.02873512	1.776333926	0.003791995	1.237982475	1.222882695	0	0	0	0.002279168	0	2	1	0	1.73239376	0	0	1	0	0	44.46305556	-109.6708333	3.781036939	1.267171728
146	C	0	0	0	0	1	0	0	0	0	0	0	0	0	10/5/1995	2.715167358	2.987666265	4.779488265	0.968482949	0.977723605	0.77815125	1.041392685	2.521138084	0.041392685	0.041392685	0.903089987	0.763427994	0.919078092	0.005418734	0	0	0	0	0	0	0	0.176539678	1.763083131	0	1.450604822	1.169044638	0	0	0	0.404664499	0.004851514	5	1	0	2.164352856	0	0	1	0	0	42.20944444	-110.7322222	3.889861721	1.708420887
147	C	0	0	0	0	1	0	0	0	0	0	0	0	0	8/31/1994	2.658011397	2.984527313	4.945025201	0.982271233	1.086359831	0.77815125	1.176091259	2.294466226	0.041392685	0.041392685	0.477121255	0.176091259	0.995635195	0.068009298	0.069143104	0.007633448	0	0	0	0.007633448	0.3297405	0.099955384	1.70700682	0.067441283	1.541192091	1.138146563	0.038353426	0.000398141	0.008024655	0.25918408	0.235330877	2	1	0	1.77085201	0	0	1	0	0	43.85472222	-110.2383333	3.838849091	2.353339107
180	C	1	0	0	0	0	0	0	0	0	1	0	0	0	10/1/1996	2.469822016	3.041392685	4.487647348	0.982271233	0.959041392	0.77815125	1.812913357	2.692846919	0.041392685	0.041392685	0.77815125	0.447158031	1.025305865	0.043400704	0.002233604	0	0	0	0	0	0.110374227	0.290028971	1.529657309	0.029040771	1.687878935	0.901886147	0.788999553	0	0	0.624355766	0.561575371	1	1	0	2.346352974	0	0	1	0	0	42.50611111	-110.2777778	3.855821905	2.113943352
181	C	1	0	0	0	0	0	0	0	0	1	0	0	0	9/27/1996	2.7084209	2.979092901	4.646276262	0.959041392	0.929418926	0.77815125	1.041392685	1.69019608	0.041392685	0.041392685	0.477121255	0.326335861	1.029383778	0.229558091	0.011274648	0	0	0	0	0	0.324546331	0.935520641	1.636858423	0.102858819	1.54005359	1.132732906	0.085310845	0	0	0.219616863	0.258519839	1	1	0	1.447158031	0	0	1	0	0	42.5725	-109.2911111	3.892428547	1.988112854
183	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/19/1996	2.622214023	3.022840611	4.824574872	0.892094603	0.77815125	0.77815125	1.041392685	1.982271233	0.041392685	0.041392685	0.477121255	0.204119983	1.146128036	0	0.006189533	0.230779347	0	0	0	0.230779347	0.394361324	0.125568344	1.858640746	0.005310696	1.149757088	1.143530692	0.010991599	0	0.230779347	0.04359968	0.031346121	2	1	0	1.643452676	0	0	1	0	0	44.49277778	-109.9933333	3.840106094	1.542825446
187	C	0	0	0	0	0	0	0	0	0	0	0	1	0	10/17/1995	2.978180517	3.173768823	4.590897539	0.968482949	0.949390007	0.77815125	3.30920418	3.3232521	0.181843588	0.11058971	1.531478917	0.84509804	1.049218023	0.01506167	0	0.263410201	0.084136728	0.007596125	0	0.315017084	0.478584571	0	0.038069936	0	1.481406423	1.828838901	0.090404617	0.115965012	0.375028086	0.085106926	0.120008041	5	2	0	2.380211242	0	0	0	1	0	44.43888889	-105.4591667	3.611723308	1.687528968
191	C	0	0	0	0	0	0	0	0	0	0	0	1	0	10/26/1995	2.91750551	3.198106999	4.532754379	0.973127854	0.812913357	1.041392685	3.087071206	3.272073788	0.041392685	0.041392685	0.477121255	0.763427994	1.096910013	0.018918002	0	0.13778819	0.057274759	0.001924633	0	0.181496263	0.088122634	0.047938785	1.220125531	0	1.511207229	1.70714255	0.232496676	0.063808999	0.224546714	0.274580288	0.12935985	5	2	0	2.342422681	0	0	0	1	0	44.48611111	-106.1341667	3.572871602	2.98699554
203	C	1	0	0	0	0	0	0	0	0	1	0	0	0	9/12/1995	2.943494516	3.183554534	4.561137176	0.977723605	1.283301229	0.77815125	1.62324929	2.624282096	0.041392685	0.041392685	0.653212514	0.90579588	1.021189299	0.019050842	0	0.310780284	0.084301521	0.017967225	0.000972653	0.362505478	0.077470375	0.15928834	1.614940189	0	1.36683474	1.455960558	0.549265417	0.401627798	0.582681514	0.595185904	0.292830808	5	1	0	2.290034611	0	0	0	1	0	44.90649722	-107.0116278	3.561101384	2.931966115
204	C	1	0	0	0	0	0	0	0	0	1	0	0	0	10/25/1995	2.934498451	3.171141151	4.648096426	0.959041392	0.819543936	0.77815125	2.892094603	2.803457116	0.041392685	0.041392685	0.477121255	0.556302501	1.086359831	0.027392239	0	0	0	0	0	0	0.005568116	0.055406763	1.733856673	0	1.302631175	1.291617879	0.329860762	0.426104034	0.426104034	0.71128547	0.478570769	1	1	0	2.301029996	0	0	0	1	0	44.8425	-107.1891667	3.602059991	1.739572357
220	C	0	1	0	0	0	1	0	0	0	0	0	0	0	9/4/1996	2.672097858	3.006466042	4.940317222	0.968482949	1.025305865	0.77815125	1.041392685	1.86923172	0.041392685	0.041392685	0.477121255	0.170261715	0.959041392	0	0	0	0	0	0	0	0	0.698084291	1.810684276	0	1.240142248	1.110069258	0.494466434	0	0	0.470184287	0	1	1	0	1.602059991	0	0	0	0	0	41.00472222	-106.8147222	3.922725458	1.428134782
221	C	0	0	0	0	0	0	0	0	0	0	0	0	1	8/27/1996	2.880813592	3.085647288	4.797641413	0.968482949	1.274157849	1.954242509	1.178976947	2.6599162	0.041392685	0.041392685	0.477121255	0.397940009	0.930439595	0	0	0	0	0	0	0	0	1.191935457	1.769799176	0.093928775	1.284646301	0.783938071	0.577107884	0	0	0.347791232	0	5	1	0	2.342422681	0	0	0	0	0	41.25916667	-107.2325	3.871572936	0.56820173
222	C	0	0	0	0	0	0	1	0	0	0	0	0	0	9/5/1996	2.741151599	3.033021445	4.809721283	0.949390007	1.178976947	0.77815125	1.041392685	1.934498451	0.041392685	0.041392685	0.477121255	0.240549248	0.924279286	0.11500138	0	0	0	0	0	0	0.286515167	0.69138033	1.872519053	0.017123759	0.924271289	1.15277061	0.006666201	0	0	0.18877954	0.029851249	1	1	0	1.653212514	0	0	0	0	0	41.26305556	-107.9563889	3.895698727	0.924279266
230	C	0	0	0	0	0	0	1	0	0	0	0	0	0	8/29/1996	2.840733235	3.103461622	4.631900147	0.959041392	1.29666519	0.77815125	1.041392685	1.792391689	0.041392685	0.041392685	0.477121255	0.184691431	0.938019097	0.015721429	0	0	0	0	0	0	0.067308757	0.825146754	1.783651917	0.031957279	1.46626089	0.744290064	0.199663627	0	0	0.248124096	0.04348929	1	1	0	1.602059991	0	0	0	0	0	41.18277778	-106.7938889	3.859738566	2.152288344
231	C	1	0	0	0	0	0	0	0	0	0	0	0	1	8/29/1996	2.856124444	3.101747074	4.58336883	0.968482949	1.250420002	0.77815125	1.08278537	2.311753861	0.041392685	0.041392685	0.477121255	0.383815366	0.977723605	0.137873807	0.000924202	0.115995484	0.011349149	0.000594355	0	0.125157009	0.080563683	0.728381392	1.787881643	0.064401836	1.40457202	0.869393115	0.396412686	0	0.125157009	0.289366617	0.299083244	1	1	0	2	0	0	0	0	0	41.25944444	-106.5736111	3.852601969	3.314288661
233	C	0	0	0	0	0	0	1	0	0	0	0	0	0	8/28/1996	2.683947131	3.007320953	4.901491015	0.954242509	1.025305865	0.77815125	1.041392685	2.021189299	0.041392685	0.041392685	0.477121255	0.127104798	0.977723605	0.013639595	0	0.027731294	0	0	0	0.027731294	0.087544684	0.76885356	1.932541852	0	0.180944446	0.910071286	0	0	0.027731294	0.481624137	0.180335038	1	1	0	1.698970004	0	0	0	0	0	41.15972222	-105.8905556	3.923244019	1.240549239
234	C	0	0	0	0	0	0	1	0	0	0	0	0	0	8/27/1996	2.749736316	2.99343623	4.934710497	0.892094603	1.127104798	0.77815125	1.041392685	2.033423755	0.041392685	0.041392685	0.477121255	0.380211242	0.948412966	0.021421898	0	0	0	0	0	0	0.041836629	0.642235741	1.938020554	0.014840356	0.562456022	0.923845117	0.006808544	0	0	0.213568622	0.013511993	1	1	0	1.77815125	0	0	0	0	0	41.28444444	-107.1191667	3.922725458	0.991226084
235	C	0	1	0	0	0	1	0	0	0	0	0	0	0	9/11/1996	2.733999287	3.002166062	4.74666533	0.919078092	1.086359831	0.77815125	1.041392685	1.633468456	0.041392685	0.041392685	0.477121255	0.283301229	0.959041392	0.326019769	0	0	0	0	0	0	0.625833596	0.750467758	1.756527791	0.060094604	0.047596991	1.481953764	0.007789592	0	0	0.647130248	0.460268271	1	1	0	1.477121255	0	0	0	0	0	41.52555556	-106.3911111	3.918135226	1.457881908
236	C	0	0	0	0	0	0	1	0	0	0	0	0	0	8/28/1996	2.683947131	3.007320953	4.901491015	0.949390007	1.064457989	0.77815125	1.041392685	2.025305865	0.041392685	0.041392685	0.477121255	0.127104798	0.968482949	0.013671945	0	0.027796013	0	0	0	0.027796013	0.087735662	0.767828527	1.932721497	0	0.167670316	0.910987949	0	0	0.027796013	0.482324727	0.180690455	1	1	0	1.77815125	0	0	0	0	0	41.15944444	-106.8922222	3.9240207	1.238046084
237	C	0	1	0	0	0	1	0	0	0	0	0	0	0	8/29/1996	2.679427897	2.999565488	4.815305399	0.973127854	1.209515015	0.77815125	1.041392685	2.173186268	0.041392685	0.041392685	0.477121255	0.170261715	0.968482949	0.172743498	0.01372463	0.157767398	0.030292106	0.008872615	0	0.184949236	0.469555973	0.85428142	1.845551617	0.102836342	0.157767398	1.315869941	0.028430356	0	0.184949236	0.268977835	0.161903272	1	1	0	1.903089987	0	0	0	0	0	41.2425	-106.4538889	3.904011884	1.45484486
238	C	0	0	0	0	0	1	1	0	0	0	0	0	0	8/28/1996	2.800029359	3.086359831	4.741813177	0.913813852	1.195899652	0.77815125	1.041392685	1.716003344	0.041392685	0.041392685	0.477121255	0.212187604	0.924279286	0.317794318	0	0	0	0	0	0	0.016636646	0.631001723	1.918842592	0.118523328	0.80596113	0.926545118	0.044164979	0	0	0.116697068	0.034137459	1	1	0	1.477121255	0	0	0	0	0	41.12638889	-106.7872222	3.86923172	2.037426498
248	C	1	0	0	0	0	0	0	0	0	1	0	0	0	10/3/1996	2.383815366	2.984527313	4.632548393	0.968482949	1.008600172	0.77815125	2.079181246	2.602059991	0.414973348	0.041392685	0.477121255	0.301029996	0.973127854	0.28960669	0.224921255	0.030690579	0.000308638	0	0	0.030978166	0.539021022	0.732777512	1.512504786	0.073346364	1.532928616	1.326315667	0.027775226	0.000493715	0.031437909	0.441225089	0.745288725	1	1	0	2.008600172	0	0	0	0	0	43.07472222	-110.0780556	3.878234469	2.656098202
250	C	1	0	0	0	0	0	0	0	0	1	0	0	0	9/30/1996	2.45484486	3.065579715	4.32358208	0.968482949	0.995635195	0.77815125	1.954242509	2.613841822	0.041392685	0.041392685	0.602059991	0.488550717	0.982271233	0.132836346	0.093478319	0.101960308	0.004154722	0.0000983	0	0.105326122	0.290740767	0.547428072	1.355405039	0.040836082	1.694859753	0.968791788	0.918523157	0.000960638	0.106080062	0.565524284	0.907225455	1	1	0	2.133538908	0	0	0	0	0	42.57055556	-109.9483333	3.832955751	3.09482038
251	C	1	0	0	0	0	0	0	0	0	1	0	0	0	9/30/1996	2.465382851	3.06669855	4.359000227	0.973127854	1.064457989	0.77815125	1	2.311753861	0.041392685	0.041392685	0.477121255	0.357934847	0.977723605	0.623323904	0.029778184	0.177316503	0.023668169	0.004815147	0.000251456	0.196445994	0.213308578	0.527794979	1.234665862	0.092581536	1.783540916	0.949610908	0.82807391	0.000869002	0.196999004	0.335607076	0.504460621	1	1	0	2	0	0	0	0	0	42.58444444	-109.9202778	3.834738519	3.088844563
253	C	0	0	0	0	0	0	1	0	0	0	0	0	0	9/12/1996	2.847572659	3.099680641	4.521425774	1.004321374	1.204119983	0.77815125	1.26245109	2.434568904	0.041392685	0.041392685	0.477121255	0.361727836	0.949390007	0.076652826	0	0.212384722	0.032563346	0.000586674	0	0.232984486	0.210291673	0.519036331	1.649608595	0.09240551	1.526252403	0.933061057	0.655582884	0	0.232984486	0.671706193	0.772297041	1	1	0	2.113943352	0	0	0	0	0	41.29971944	-105.9941556	3.875292825	2.225309282
267	C	0	0	0	0	0	0	0	0	0	0	1	0	0	10/11/1996	2.975431809	3.158663981	4.614443711	0.959041392	1.021189299	0.77815125	1.531478917	2.604226053	0.505149978	0.041392685	0.698970004	0.763427994	1.071882007	0.016821253	0	0.212968554	0.000765007	0	0	0.213437201	0.037533259	0.004721466	0.802638655	0	1.556149337	1.762502911	0.009991182	0	0.213437201	0.198959377	0.381714477	1	1	0	2.255272505	0	0	0	0	1	41.4225	-105.1866667	3.812244697	1.949390007
282	C	0	0	1	0	0	0	0	0	0	0	0	0	0	9/10/1997	2.88592634	3.115610512	4.517275093	0.959041392	1.079181246	0.77815125	1.041392685	1.986771734	0.041392685	0.049218023	0.477121255	0.505149978	1.049218023	0.000700046	0.168961559	0	0	0	0	0	0.782149622	0.093211903	1.75272819	0.021193303	1.293556401	1.316827966	0.006398254	0	0	0.059366469	0.01215894	2	1	0	1.707570176	0	0	1	0	0	44.46472222	-109.6277778	3.773786445	2.030599734
