SAMPLE	TYPE	Acari	Baetis	Brachycentrus_americanus	Capniidae	Chloroperlidae	Cinygmula	Cleptelmis	D_coloradensis_flavilinea	D_grandis_spinifera	Ephemerella	Heterlimnius	Hexatoma	Micrasema	Micropsectra	Nematoda	Orthocladius	Pericoma	R_brunnea	Simulium	Sphaeriidae	Taeniopterygidae	Turbellaria	Zapada_cinctipes	Ceratopogoninae	Dicranota	Diphetor	Dolophilodes	Doroneuria	Drunella_doddsi	Naididae	Oligophlebodes	Pagastia	Paraleptophlebia	Parapsyche	Prosimulium	R_betteni	Ameletus	Diamesa	Epeorus	Hydrobaenus	Tvetenia	Zapada_oregonensis	Chelifera	Cricotopus_Nostococladius	Rheotanytarsus	Stempellina	Acentrella	Atherix	Claassenia	Hesperoperla	Lepidostoma	Optioservus	Pteronarcys	R_coloradensis	Rhithrogena	Zaitzevia	Antocha	Eukiefferiella	Hydropsyche	Neothremma	Glossosoma	R_pellisa	Brillia	Megarcys	Polypedilum	Serratella	Arctopsyche	Clinocera	Pteronarcella	Skwala	Parorthocladius	R_hyalinata	Apatania	Narpus	Potthastia	Brachycentrus_occidentalis	Wiedemannia	Cladotanytarsus	Ochrotrichia	Agraylea	Hydroptila	Rheocricotopus	Corynoneura	Tanytarsus	Enchytraeidae	Neophylax	Heptagenia_Nixe	Agapetus	Helicopsyche	Isoperla	Microcylloepus	Physidae	Protoptila	Thienemannimyia	Tipula	Tricorythodes	Petrophila	Coenagrionidae	Dubiraphia	Microtendipes	Nectopsyche	Oecetis	Psychomyiidae	Parametriocnemus	Cheumatopsyche	Malenka	Dixidae	Gomphidae	Hyalella	Ancylidae	Dytiscidae	Gammarus	Hemerodromia	Thienemanniella	Cricotopus_bicinctus	Caenis	Stempellinella	Chaetocladius	Caudatella	Zapada_columbiana	Cricotopus_trifascia	Sublettea	Fallceon_quilleri	Pisidiidae	Cricotopus_Cricotopus
72	C	2	15	0	0	0	0	0	0	0	1	0	0	1	8	0	1	0	0	30	5	0	0	0	0	0	111	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	8	44	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	18	0	0	0	0	0	0	0	1	0	0	12	0	0	0	1	6	2	2	0	0	0	0	0	0	0	0	0	0	0
74	C	6	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23	2	0	0	0	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	10	43	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	57	2	0	0	0	0	0	0	0	0	0	0	0	0
87	C	1	20	0	0	2	20	0	0	0	0	4	0	0	0	0	0	5	4	0	0	5	9	4	0	0	0	0	0	4	0	0	0	1	0	0	2	1	0	13	0	1	4	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	160	21	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
88	C	6	20	0	0	3	10	0	8	10	0	0	0	0	0	0	20	16	1	3	0	15	1	1	0	0	0	0	0	20	0	1	1	0	0	0	0	0	8	8	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	14	0	66	0	1	0	0	0	3	0	2	0	0	2	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	C	6	31	0	2	1	54	0	16	0	0	6	1	0	1	0	1	36	2	0	0	0	18	4	0	0	0	0	0	2	0	0	0	0	10	1	5	0	0	4	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	70	9	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
96	V	15	64	0	1	1	8	0	4	15	0	0	0	0	0	0	14	0	3	0	0	0	0	0	0	1	0	0	0	49	0	0	2	0	9	0	0	0	0	4	0	1	0	4	59	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	1	6	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
103	V	5	13	6	0	0	0	0	0	1	2	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	48	11	0	0	36	4	0	0	20	0	96	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	C	43	2	64	0	3	25	0	0	1	12	0	0	0	1	0	8	3	0	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	0	1	2	2	0	1	0	0	0	0	0	0	0	43	0	1	0	3	0	0	0	0	0	0	3	41	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
110	C	9	5	1	0	1	0	1	0	6	2	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	2	0	0	8	9	0	0	101	1	0	8	28	0	69	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	C	0	12	0	0	15	20	0	0	3	6	30	0	2	0	0	0	0	1	0	1	0	0	23	0	0	0	3	4	10	0	28	1	0	16	0	1	0	0	0	0	1	4	0	4	0	0	0	0	0	0	0	0	0	0	60	0	1	0	0	26	14	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
118	V	8	9	0	1	29	14	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	0	10	0	0	0	0	0	35	0	4	0	0	11	0	0	2	0	35	0	0	6	1	3	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	1	0	1	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
121	C	4	8	5	0	6	3	0	0	3	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	9	0	0	0	0	0	6	2	10	1	2	23	2	0	1	35	0	108	0	0	0	1	0	1	0	0	0	0	0	18	0	0	23	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
124	C	3	2	2	0	2	4	0	0	13	9	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	117	20	0	0	11	0	1	4	3	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	C	2	4	1	1	15	11	0	5	2	54	47	0	3	3	1	0	26	1	0	0	0	1	17	0	0	0	0	2	12	0	62	0	0	1	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	C	2	53	0	0	19	21	0	5	1	14	36	0	0	0	2	2	0	0	5	4	15	3	8	0	1	0	0	0	18	1	28	1	0	4	0	0	1	0	0	0	0	5	0	18	0	0	0	0	0	1	0	1	0	0	11	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	V	3	5	0	2	6	41	0	1	0	5	9	1	0	0	0	1	0	0	0	0	32	0	0	0	0	0	0	0	29	1	1	0	0	0	0	0	13	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	133	0	0	1	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	C	11	32	0	1	5	45	0	1	0	0	0	3	0	0	0	0	0	0	0	0	61	2	2	0	0	0	0	0	5	0	4	0	0	5	0	0	7	0	7	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
130	C	8	29	0	1	4	11	0	0	0	0	2	3	0	0	1	0	0	0	0	0	27	1	0	0	0	0	0	0	2	0	14	0	0	8	0	0	2	0	20	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	6	0	0	30	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
134	C	2	65	6	0	4	19	0	0	1	35	2	2	16	0	0	0	6	3	2	2	0	0	4	1	0	1	0	0	6	0	8	0	11	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	28	0	2	52	1	0	0	3	0	4	1	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	C	5	10	0	8	7	5	0	1	0	0	0	0	0	5	0	0	1	8	0	0	5	12	22	0	5	0	0	0	2	0	0	0	0	1	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
137	C	5	9	0	0	7	17	0	3	0	0	0	0	0	0	0	1	1	0	0	0	39	2	5	0	1	0	0	0	2	0	0	0	0	4	0	4	15	0	31	13	1	2	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	28	0	0	0	0	0
138	C	19	12	31	0	2	16	2	0	29	30	0	0	2	0	0	12	0	3	0	0	1	0	0	0	0	0	0	0	8	0	48	1	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	2	17	0	0	13	2	8	2	1	0	6	0	0	0	0	0	14	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	C	7	16	0	1	11	19	0	0	1	0	0	0	0	0	1	1	1	8	0	0	81	1	13	0	0	0	0	0	13	0	8	0	0	14	0	3	4	0	8	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0	3	0	7	0	2	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0
145	C	80	22	4	1	0	9	0	2	0	8	0	0	0	0	0	18	0	0	0	0	16	0	53	0	0	0	0	0	6	0	0	0	0	0	0	0	3	1	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
146	C	22	21	10	1	6	20	0	0	9	5	0	1	66	5	2	8	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	1	0	1	0	0	18	7	0	0	0	0	2	33	23	0	0	4	5	3	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	1	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	C	25	38	8	0	5	1	0	0	0	2	0	1	0	0	2	4	2	0	1	0	0	0	3	1	0	0	0	0	22	3	0	1	0	0	0	0	0	0	1	0	1	0	0	84	0	0	3	0	0	3	8	1	0	1	54	0	0	0	0	0	19	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	C	0	43	0	0	5	0	0	0	1	90	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	3	15	25	0	0	34	1	0	0	45	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	C	5	18	34	0	2	8	1	0	4	14	0	2	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11	1	9	0	7	0	0	0	0	0	3	0	0	0	0	1	0	0	0	3	0	0	6	28	0	6	27	2	1	0	54	0	36	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	C	2	26	0	1	2	2	0	1	1	0	0	0	0	2	0	4	1	6	0	0	37	0	0	1	0	0	0	0	5	0	4	1	0	5	0	2	0	0	40	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	2	0	1	0	9	0	7	0	1	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0
187	C	5	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	23	3	0	0	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	1	0	0	4	34	0	0	1	0	0	74	0	0	1	29	0	1	0	6	0	3	18	0	0	0	0	0	0	0	0	0
191	C	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	17	0	0	1	0	0	1	0	0	70	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
203	C	1	76	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	20	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	5	0	0	0	0	1	0	2	0	39	0	0	0	0	52	1	0	1	0	6	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	C	2	13	1	0	2	0	0	0	3	1	0	0	0	1	0	4	0	0	6	0	0	2	1	0	0	0	0	0	0	0	0	2	18	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	16	0	0	41	3	0	0	154	0	0	0	1	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220	C	15	60	49	2	12	1	0	0	2	11	8	0	5	43	0	0	1	2	3	0	1	0	2	0	0	0	0	0	2	2	0	7	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	3	0	0	15	9	1	1	0	0	14	0	0	0	0	0	12	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
221	C	5	2	0	2	0	0	11	0	5	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	53	0	0	0	19	0	4	22	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	9	0	8	0	5	0	0	1	0	0	8	0	0	17	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	C	0	50	2	0	6	2	2	0	0	7	8	0	0	0	2	0	2	2	1	0	0	0	1	2	0	0	0	0	15	0	1	62	1	0	0	0	0	2	5	0	6	1	1	27	0	0	0	0	0	3	0	1	0	0	29	0	0	2	3	0	5	0	0	0	0	1	24	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
225	V	2	75	0	0	40	4	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	3	18	2	1	1	0	0	2	0	0	0	5	0	0	0	0	0	7	0	1	0	0	5	0	0	0	0	0	1	0	13	0	0	26	53	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
